headword,pronunciation
psychosocjologia,ˌ p s ɨ x ɔ s ɔ t s̑ʲ j ɔ ˈ l ɔ ɟ j a
psychosocjologiczny,ˌ p s ɨ x ɔ s ɔ t s̑ʲ j ɔ l ɔ ˈ ɟ i t ʃ̑ n ɨ
psychoza,p s ɨ ˈ x ɔ z a
pszczelarstwo,p ʃ t ʃ̑ ɛ ˈ l a r s t f ɔ
pszczelarz,ˈ p ʃ t ʃ̑ ɛ l a ʃ
pszczeli,ˈ p ʃ t ʃ̑ ɛ lʲ i
pszczoła,ˈ p ʃ t ʃ̑ ɔ w a
pszczynianin,p ʃ t ʃ̑ ɨ̃ ˈ ɲ ä̃ ɲ ĩ n
pszczynianka,p ʃ t ʃ̑ ɨ̃ ˈ ɲ ã n k a
pszczyć,p ʃ t ʃ̑ ɨ ʨ̑
pszczyński,ˈ p ʃ t ʃ̑ ɨ̃ j̃ sʲ c i
pszczółeczka,p ʃ t ʃ̑ u ˈ w ɛ t ʃ̑ k a
pszczółka,ˈ p ʃ t ʃ̑ u w k a
pszenica,p ʃ ɛ̃ ˈ ɲ i t s̑ a
pszenny,ˈ p ʃ ɛ̃ nː ɨ
pszenżyto,p ʃ ɛ̃ n͇ ˈ ʒ ɨ t ɔ
pszonak,ˈ p ʃ ɔ̃ n a k
pszonka,ˈ p ʃ ɔ̃ n k a
pszowski,ˈ p ʃ ɔ f sʲ c i
pt.,ˌ p ɔ tː ɨ ˈ t u w ɛ̃ m
ptactwo,ˈ p t a t s̑ t f ɔ
ptak,p t a k
ptasi,ˈ p t a ɕ i
ptaszek,ˈ p t a ʃ ɛ k
ptaszkować,p t a ˈ ʃ k ɔ v a ʨ̑
ptaszę,ˈ p t a ʃ ɛ
ptialina,p tʲ j a ˈ lʲ ĩ n a
ptifur,ˈ p tʲ i f u r
ptyś,p t ɨ ɕ
puaz,ˈ p u s u p w s u p a s
publicystyczny,ˌ p u b lʲ i t s̑ ɨ ˈ s t ɨ t ʃ̑ n ɨ
publiczność,p u ˈ b lʲ i t ʃ̑ n ɔ ɕ ʨ̑
publiczny,p u ˈ b lʲ i t ʃ̑ n ɨ
publika,ˈ p u b lʲ i k a
publikacja,ˌ p u b lʲ i ˈ k a t s̑ʲ j a
publikować,ˌ p u b lʲ i ˈ k ɔ v a ʨ̑
pucel,ˈ p u t s̑ ɛ l
puchacz,ˈ p u x a t ʃ̑
puchar,ˈ p u x a r
puchać,ˈ p u x a ʨ̑
puchowy,p u ˈ x ɔ v ɨ
pucki,ˈ p u t s̑ʲ c i
pucowanie,ˌ p u t s̑ ɔ ˈ v ã ɲ ɛ
pucować,p u ˈ t s̑ ɔ v a ʨ̑
pucybut,p u ˈ t s̑ ɨ b u t
pudel,ˈ p u d ɛ l
pudelek,p u ˈ d ɛ l ɛ k
puder,ˈ p u d ɛ r
pudełeczko,ˌ p u d ɛ ˈ w ɛ t ʃ̑ k ɔ
pudełko,p u ˈ d ɛ w k ɔ
pudło,ˈ p u d w ɔ
pudłować,p u d ˈ w ɔ v a ʨ̑
puf,ˈ p u f a
pufa,ˈ p u f a
pugilares,ˌ p u ɟ i ˈ l a r ɛ s
puginał,p u ˈ ɟ ĩ n a w
puk,p u k
puka,ˈ p u k a
pukanie,p u ˈ k ã ɲ ɛ
pukawka,p u ˈ k a f k a
pukać,ˈ p u k a ʨ̑
pukiel,ˈ p u c ɛ l
pula,ˈ p u l a
pularda,p u ˈ l a r d a
pulares,p u ˈ l a r ɛ s
pulchniuteńki,ˌ p u l ç ɲ u ˈ t ɛ̃ ɲ c i
pulchniutki,p u l ç ˈ ɲ u tʲ c i
pulmonolog,ˌ p u l m ɔ̃ ˈ n ɔ l ɔ k
pulmonologia,ˌ p u l m ɔ̃ n ɔ ˈ l ɔ ɟ j a
pulpit,ˈ p u l pʲ i t
puls,p u l s
pulsar,ˈ p u l s a r
pulsoksymetr,ˌ p u l s ɔ ˈ k s ɨ̃ m ɛ t r̥
puma,ˈ p ũ m a
pumeks,ˈ p ũ m ɛ k s
pumpernikiel,ˌ p ũ m p ɛ rʲ ˈ ɲ i c ɛ l
punicki,p ũ ˈ ɲ i t s̑ʲ c i
punkt,p ũ ŋ k t
punktualnie,ˌ p ũ ŋ k t u ˈ s u p w s u p a lʲ ɲ ɛ
punktualność,ˌ p ũ ŋ k t u ˈ s u p w s u p a l n ɔ ɕ ʨ̑
punktualny,ˌ p ũ ŋ k t u ˈ s u p w s u p a l n ɨ
punto,ˈ p ũ n t ɔ
pupa,ˈ p u p a
pupcia,ˈ p u pʲ ʨ̑ a
pupeczka,p u ˈ p ɛ t ʃ̑ k a
pupil,ˈ p u pʲ i l
purga,ˈ p u r ɡ a
purgatorium,ˌ p u r ɡ a ˈ t ɔ rʲ j ũ m
purpura,p u r ˈ p u r a
purpurat,p u r ˈ p u r a t
purpurogłowy,ˌ p u r p u r ɔ ɡ ˈ w ɔ v ɨ
purpuroskrzydły,ˌ p u r p u r ɔ ˈ s k ʃ ɨ d w ɨ
purpurowy,ˌ p u r p u ˈ r ɔ v ɨ
puryfikaterz,ˌ p u r ɨ fʲ i ˈ k a t ɛ ʃ
purysta,p u ˈ r ɨ s t a
pustak,ˈ p u s t a k
pustaka,p u ˈ s t a k a
pustać,ˈ p u s t a ʨ̑
puste,ˈ p u s t ɛ
pustelnik,p u ˈ s t ɛ lʲ ɲ i k
pustkowie,p u ˈ s t k ɔ vʲ j ɛ
pustogłowy,ˌ p u s t ɔ ˈ ɡ w ɔ v ɨ
pustoszenie,ˌ p u s t ɔ ˈ ʃ ɛ̃ ɲ ɛ
pustoszyć,p u ˈ s t ɔ ʃ ɨ ʨ̑
pustułeczka,ˌ p u s t u ˈ w ɛ t ʃ̑ k a
pustułka,p u ˈ s t u w k a
pusty,ˈ p u s t ɨ
pustynia,p u ˈ s t ɨ̃ ɲ a
pustynny,p u ˈ s t ɨ̃ nː ɨ
pusza,ˈ p u ʃ a
puszcza,ˈ p u ʃ t ʃ̑ a
puszczalski,p u ʃ ˈ t ʃ̑ a l sʲ c i
puszczanie,p u ʃ ˈ t ʃ̑ ã ɲ ɛ
puszczać,ˈ p u ʃ t ʃ̑ a ʨ̑
puszczenie,p u ʃ ˈ t ʃ̑ ɛ̃ ɲ ɛ
puszczyk,ˈ p u ʃ t ʃ̑ ɨ k
puszczykowianin,ˌ p u ʃ t ʃ̑ ɨ k ɔ ˈ vʲ j ä̃ ɲ ĩ n
puszczykowianka,ˌ p u ʃ t ʃ̑ ɨ k ɔ ˈ vʲ j ã n k a
puszczykowski,ˌ p u ʃ t ʃ̑ ɨ ˈ k ɔ f sʲ c i
puszeczka,p u ˈ ʃ ɛ t ʃ̑ k a
puszka,ˈ p u ʃ k a
puszta,ˈ p u ʃ t a
putrescyna,ˌ p u t r ɛ ˈ s t s̑ ɨ̃ n a
puzderko,p u z ˈ d ɛ r k ɔ
puzonista,ˌ p u z ɔ̃ ˈ ɲ i s t a
puzyrnik,p u ˈ z ɨ rʲ ɲ i k
pułap,ˈ p u w a p
pułapka,p u ˈ w a p k a
pułapkowy,ˌ p u w a p ˈ k ɔ v ɨ
puławianin,ˌ p u w a ˈ vʲ j ä̃ ɲ ĩ n
puławianka,ˌ p u w a ˈ vʲ j ã n k a
puławski,p u ˈ w a f sʲ c i
pułkownik,p u w ˈ k ɔ vʲ ɲ i k
puściusieńki,ˌ p u ɕ ʨ̑ ü ˈ ɕ ɛ̇̃ ɲ c i
puściuteńki,ˌ p u ɕ ʨ̑ u ˈ t ɛ̃ ɲ c i
puściutki,p u ɕ ˈ ʨ̑ u tʲ c i
puściuśki,p u ɕ ˈ ʨ̑ ü ɕ c i
puścić,ˈ p u ɕ ʨ̑ i ʨ̑
pwać,p f a ʨ̑
pych,p ɨ x
pycha,ˈ p ɨ x a
pychówka,p ɨ ˈ x u f k a
pycownik,p ɨ ˈ t s̑ ɔ vʲ ɲ i k
pylnik,ˈ p ɨ lʲ ɲ i k
pylon,ˈ p ɨ l ɔ̃ n
pypeć,ˈ p ɨ p ɛ ʨ̑
pyra,ˈ p ɨ r a
pysk,p ɨ s k
pyskaty,p ɨ ˈ s k a t ɨ
pyskować,p ɨ ˈ s k ɔ v a ʨ̑
pyskówka,p ɨ ˈ s k u f k a
pyszczek,ˈ p ɨ ʃ t ʃ̑ ɛ k
pyszny,ˈ p ɨ ʃ n ɨ
pyta,ˈ p ɨ t a
pytający,p ɨ t a ˈ j ɔ n t͡ s ɨ
pytanie,p ɨ ˈ t ã ɲ ɛ
pytanko,p ɨ ˈ t ã n k ɔ
pytać,ˈ p ɨ t a ʨ̑
pytel,ˈ p ɨ t ɛ l
pytlowy,p ɨ ˈ t l ɔ v ɨ
pytyjski,p ɨ ˈ t ɨ j sʲ c i
pyza,ˈ p ɨ z a
pyzaty,p ɨ ˈ z a t ɨ
pył,p ɨ w
pyłek,ˈ p ɨ w ɛ k
pyłochłonny,ˌ p ɨ w ɔ ˈ x w ɔ̃ nː ɨ
pójście,ˈ p u j ɕ ʨ̑ ɛ
pójść,p u j ɕ ʨ̑
póki,ˈ p u c i
póty,ˈ p u t ɨ
pół,p u w
pół-polak,p u w ˈ p ɔ l a k
półanalfabeta,ˌ p u w ã n a l f a ˈ b ɛ t a
półbrat,ˈ p u w b r a t
półbut,ˈ p u w b u t
półbóg,ˈ p u w b u k
półdolarowy,ˌ p u w d ɔ l a ˈ r ɔ v ɨ
półdolarówka,ˌ p u w d ɔ l a ˈ r u f k a
półeczka,p u ˈ w ɛ t ʃ̑ k a
półgłosem,p u w ˈ ɡ w ɔ s ɛ̃ m
półka,ˈ p u w k a
półkilometrowy,ˌ p u wʲ c i l ɔ̃ m ɛ ˈ t r ɔ v ɨ
półkoks,ˈ p u w k ɔ k s
półkoksowy,ˌ p u w k ɔ ˈ k s ɔ v ɨ
półkontenerowiec,ˌ p u w k ɔ̃ n t ɛ̃ n ɛ ˈ r ɔ vʲ j ɛ t s̑
półkownik,p u w ˈ k ɔ vʲ ɲ i k
półksiężyc,p u wʲ ˈ c ɕ ɛ̃ w̃ ʒ ɨ t s̑
półkula,p u w ˈ k u l a
półkwadrat,p u w ˈ k f a d r a t
półmaraton,ˌ p u w m a ˈ r a t ɔ̃ n
półmetal,p u w ˈ m ɛ t a l
półmetrowy,ˌ p u w m ɛ ˈ t r ɔ v ɨ
półmrok,ˈ p u w m r ɔ k
półnagi,p u w ˈ n a ɟ i
półnegliż,p u w ˈ n ɛ ɡ lʲ i ʃ
północ,ˈ p u w n ɔ t s̑
północno-wschodni,ˌ p u w n ɔ t s̑ n ɔ ˈ f s x ɔ dʲ ɲ i
północno-zachodni,ˌ p u w n ɔ t s̑ n ɔ z a ˈ x ɔ dʲ ɲ i
północnoafrykański,ˌ p u w n ɔ t s̑ n ɔ a f r ɨ ˈ k ã j̃ sʲ c i
północnokaukaski,ˌ p u w n ɔ t s̑ n ɔ k a w ˈ k a sʲ c i
północnokoreański,p u w ˈ n ɔ t s̑ n ɔ ˌ k ɔ r ɛ ˈ ã j̃ sʲ c i
północnolapońskojęzyczny,p u w ˈ n ɔ t s̑ n ɔ l a ˈ p ɔ̃ j̃ s k ɔ j ɛ̃ w̃ ˈ z ɨ t ʃ̑ n ɨ
północnosudecki,ˌ p u w n ɔ t s̑ n ɔ s u ˈ d ɛ t s̑ʲ c i
północny,p u w ˈ n ɔ t s̑ n ɨ
półosiowy,ˌ p u w ɔ ˈ ɕ ɔ v ɨ
półotwarty,ˌ p u w ɔ t ˈ f a r t ɨ
półowa,p u ˈ w ɔ v a
półoś,ˈ p u w ɔ ɕ
półośka,p u ˈ w ɔ ɕ k a
półpasiec,p u w ˈ p a ɕ ɛ t s̑
półpensowy,ˌ p u w p ɛ̃ w̃ ˈ s ɔ v ɨ
półpensówka,ˌ p u w p ɛ̃ w̃ ˈ s u f k a
półpojemnikowiec,ˌ p u w p ɔ j ɛ̃ mʲ ɲ i ˈ k ɔ vʲ j ɛ t s̑
półpoście,p u w ˈ p ɔ ɕ ʨ̑ ɛ
półprofil,p u w ˈ p r ɔ fʲ i l
półprzewodnik,ˌ p u w p ʃ ɛ ˈ v ɔ dʲ ɲ i k
półpustynia,ˌ p u w p u ˈ s t ɨ̃ ɲ a
półsamogłoska,ˌ p u w s ã m ɔ ɡ ˈ w ɔ s k a
półsiostra,p u wʲ ˈ ɕ ɔ s t r a
półskrzydły,p u w ˈ s k ʃ ɨ d w ɨ
półsłodki,p u w ˈ s w ɔ tʲ c i
półsłupek,p u w ˈ s w u p ɛ k
półton,ˈ p u w t ɔ̃ n
półtora,p u w ˈ t ɔ r a
półtorak,p u w ˈ t ɔ r a k
półtorej,p u w ˈ t ɔ r ɛ j
półtrampek,p u w ˈ t r ã m p ɛ k
półtrzecia,p u w ˈ ṭ ʃ ɛ ʨ̑ a
półuśmiech,p u ˈ w u ɕ mʲ j ɛ x
półwałek,p u w ˈ v a w ɛ k
półwysep,p u w ˈ v ɨ s ɛ p
półwytrawny,ˌ p u w v ɨ ˈ t r a v n ɨ
później,ˈ p u ʑ ɲ ɛ̇ j
późno,ˈ p u ʑ n ɔ
późno-,ˈ p u ʑ n ɔ
późnomezozoiczny,ˌ p u ʑ n ɔ̃ m ɛ z ɔ z ɔ ˈ s u p j s u p i t ʃ̑ n ɨ
późny,ˈ p u ʑ n ɨ
pączek,ˈ p ɔ̃ n͇ t ʃ̑ ɛ k
pączkowy,p ɔ̃ n͇ t ʃ̑ ˈ k ɔ v ɨ
pąk,p ɔ̃ ŋ k
pąs,p ɔ̃ w̃ s
pąsowienie,ˌ p ɔ̃ w̃ s ɔ ˈ vʲ j ɛ̇̃ ɲ ɛ
pąsowieć,p ɔ̃ w̃ ˈ s ɔ vʲ j ɛ̇ ʨ̑
pąsowo,p ɔ̃ w̃ ˈ s ɔ v ɔ
pąsowy,p ɔ̃ w̃ ˈ s ɔ v ɨ
pątnik,ˈ p ɔ̃ n tʲ ɲ i k
pćma,pʲ ʨ̑ m a
pęcherzyk,p ɛ̃ w̃ ˈ x ɛ ʒ ɨ k
pęczak,ˈ p ɛ̃ n͇ t ʃ̑ a k
pęczek,ˈ p ɛ̃ n͇ t ʃ̑ ɛ k
pęcznieć,ˈ p ɛ̃ n͇ t ʃ̑ʲ ɲ ɛ̇ ʨ̑
pęd,p ɛ̃ n t
pędrak,ˈ p ɛ̃ n d r a k
pędzel,ˈ p ɛ̃ n d z̑ ɛ l
pędzelek,p ɛ̃ n ˈ d z̑ ɛ l ɛ k
pędzić,ˈ p ɛ̃ ɲ ʥ̑ i ʨ̑
pęk,p ɛ̃ ŋ k
pękać,ˈ p ɛ̃ ŋ k a ʨ̑
pęknięcie,p ɛ̃ ŋʲ c ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
pęknąć,ˈ p ɛ̃ ŋ k n ɔ̃ ɲ ʨ̑
pępek,ˈ p ɛ̃ m p ɛ k
pętca,ˈ p ɛ̃ n t t s̑ a
pętla,ˈ p ɛ̃ n t l a
pęto,ˈ p ɛ̃ n t ɔ
płaca,ˈ p w a t s̑ a
płacenie,p w a ˈ t s̑ ɛ̃ ɲ ɛ
płacić,ˈ p w a ʨ̑ i ʨ̑
płacz,p w a t ʃ̑
płaczka,ˈ p w a t ʃ̑ k a
płakanie,p w a ˈ k ã ɲ ɛ
płakać,ˈ p w a k a ʨ̑
płaneta,p w ã ˈ n ɛ t a
płanetnik,p w ã ˈ n ɛ tʲ ɲ i k
płaski,ˈ p w a sʲ c i
płaskodenny,ˌ p w a s k ɔ ˈ d ɛ̃ nː ɨ
płaskonos,p w a ˈ s k ɔ̃ n ɔ s
płaskorzeźba,ˌ p w a s k ɔ ˈ ʒ ɛ ʑ b a
płaskowyż,p w a ˈ s k ɔ v ɨ ʃ
płaszcz,p w a ʃ t ʃ̑
płaszczka,ˈ p w a ʃ t ʃ̑ k a
płaszczyk,ˈ p w a ʃ t ʃ̑ ɨ k
płaszczyzna,p w a ˈ ʃ t ʃ̑ ɨ z n a
płaszczyć,ˈ p w a ʃ t ʃ̑ ɨ ʨ̑
płat,p w a t
płatek,ˈ p w a t ɛ k
płatnerz,ˈ p w a t n ɛ ʃ
płatność,ˈ p w a t n ɔ ɕ ʨ̑
płatny,ˈ p w a t n ɨ
płatwa,ˈ p w a t f a
płaz,p w a s
płciowy,ˈ p w̥ ʨ̑ ɔ v ɨ
płetwa,ˈ p w ɛ t f a
płetwonurek,ˌ p w ɛ t f ɔ̃ ˈ n u r ɛ k
płeć,p w ɛ ʨ̑
płocczanin,p w ɔ t s̑ ˈ t ʃ̑ ã ɲ ĩ n
płocczanka,p w ɔ t s̑ ˈ t ʃ̑ ã n k a
płocki,ˈ p w ɔ t s̑ʲ c i
płodność,ˈ p w ɔ d n ɔ ɕ ʨ̑
płodozmian,p w ɔ ˈ d ɔ z mʲ j ã n
płomień,ˈ p w ɔ̃ mʲ j ɛ̇̃ ɲ
płomyczek,p w ɔ̃ ˈ m ɨ t ʃ̑ ɛ k
płomyk,ˈ p w ɔ̃ m ɨ k
płonny,ˈ p w ɔ̃ nː ɨ
płonąć,ˈ p w ɔ̃ n ɔ̃ ɲ ʨ̑
płot,p w ɔ t
płotek,ˈ p w ɔ t ɛ k
płotka,ˈ p w ɔ t k a
płotkarka,p w ɔ t ˈ k a r k a
płotkarz,ˈ p w ɔ t k a ʃ
płowobrunatny,ˌ p w ɔ v ɔ b r ũ ˈ n a t n ɨ
płowobrązowy,ˌ p w ɔ v ɔ b r ɔ̃ w̃ ˈ z ɔ v ɨ
płoworudy,ˌ p w ɔ v ɔ ˈ r u d ɨ
płowoszary,ˌ p w ɔ v ɔ ˈ ʃ a r ɨ
płowożółty,ˌ p w ɔ v ɔ ˈ ʒ u w t ɨ
płowy,ˈ p w ɔ v ɨ
płoć,p w ɔ ʨ̑
płuco,ˈ p w u t s̑ ɔ
pług,p w u k
pługosolarka,ˌ p w u ɡ ɔ s ɔ ˈ l a r k a
płukanie,p w u ˈ k ã ɲ ɛ
płukać,ˈ p w u k a ʨ̑
płużyć,ˈ p w u ʒ ɨ ʨ̑
płyciusieńki,ˌ p w ɨ ʨ̑ ü ˈ ɕ ɛ̇̃ ɲ c i
płyciuteńki,ˌ p w ɨ ʨ̑ u ˈ t ɛ̃ ɲ c i
płyciutki,p w ɨ ˈ ʨ̑ u tʲ c i
płycizna,p w ɨ ˈ ʨ̑ i z n a
płyn,p w ɨ̃ n
płynność,ˈ p w ɨ̃ nː ɔ ɕ ʨ̑
płynny,ˈ p w ɨ̃ nː ɨ
płynąć,ˈ p w ɨ̃ n ɔ̃ ɲ ʨ̑
płyta,ˈ p w ɨ t a
płytka,ˈ p w ɨ t k a
płytkarz,ˈ p w ɨ t k a ʃ
płytki,ˈ p w ɨ tʲ c i
płytoteka,ˌ p w ɨ t ɔ ˈ t ɛ k a
płytownik,p w ɨ ˈ t ɔ vʲ ɲ i k
pływaczka,p w ɨ ˈ v a t ʃ̑ k a
pływak,ˈ p w ɨ v a k
pływalnia,p w ɨ ˈ v a lʲ ɲ a
pływanie,p w ɨ ˈ v ã ɲ ɛ
pływać,ˈ p w ɨ v a ʨ̑
płócienny,p w u ˈ ʨ̑ ɛ̃ nː ɨ
płód,p w u t
płótno,ˈ p w u t n ɔ
quad,k w ɔ t
quasi,ˈ k f a zʲ i
quenya,ˈ k w ɛ n j a
r,ɛ r
r.,ˈ r ɔ k u
r.,ˈ r ɔ k
rab,r a p
rabacki,r a ˈ b a t s̑ʲ c i
rabarbar,r a ˈ b a r b a r
rabarbarowiec,ˌ r a b a r b a ˈ r ɔ vʲ j ɛ t s̑
rabat,ˈ r a b a t
rabata,r a ˈ b a t a
rabatyjczyk,ˌ r a b a ˈ t ɨ j t ʃ̑ ɨ k
rabatyjka,ˌ r a b a ˈ t ɨ j k a
rabdomioliza,ˌ r a b d ɔ̃ mʲ j ɔ ˈ lʲ i z a
rabin,ˈ r a bʲ ĩ n
rabowanie,ˌ r a b ɔ ˈ v ã ɲ ɛ
rabować,r a ˈ b ɔ v a ʨ̑
rabuś,ˈ r a b u ɕ
race,ˈ r a t s̑ ɛ
rachatłukum,ˌ r a x a t ˈ w u k ũ m
rachityczny,ˌ r a ç i ˈ t ɨ t ʃ̑ n ɨ
rachować,r a ˈ x ɔ v a ʨ̑
rachunek,r a ˈ x ũ n ɛ k
rachunki,r a ˈ x ũ ŋʲ c i
raciborski,ˌ r a ʨ̑ i ˈ b ɔ r sʲ c i
raciborzanin,ˌ r a ʨ̑ i b ɔ ˈ ʒ ã ɲ ĩ n
raciborzanka,ˌ r a ʨ̑ i b ɔ ˈ ʒ ã n k a
racica,r a ˈ ʨ̑ i t s̑ a
raciądz,ˈ r a ʨ̑ ɔ̃ n t s̑
racja,ˈ r a t s̑ʲ j a
racjonalista,ˌ r a t s̑ʲ j ɔ̃ n a ˈ lʲ i s t a
racjonalistka,ˌ r a t s̑ʲ j ɔ̃ n a ˈ lʲ i s t k a
racjonalistyczny,ˌ r a t s̑ʲ j ɔ̃ n a lʲ i ˈ s t ɨ t ʃ̑ n ɨ
racjonalizacja,ˌ r a t s̑ʲ j ɔ̃ n a lʲ i ˈ z a t s̑ʲ j a
racjonalizm,ˌ r a t s̑ʲ j ɔ̃ ˈ n a lʲ i s m̥
racjonalnie,ˌ r a t s̑ʲ j ɔ̃ ˈ n a lʲ ɲ ɛ
racjonalność,ˌ r a t s̑ʲ j ɔ̃ ˈ n a l n ɔ ɕ ʨ̑
racjonalny,ˌ r a t s̑ʲ j ɔ̃ ˈ n a l n ɨ
racowisko,ˌ r a t s̑ ɔ ˈ vʲ i s k ɔ
racuch,ˈ r a t s̑ u x
raczej,ˈ r a t ʃ̑ ɛ j
raczek,ˈ r a t ʃ̑ ɛ k
raczenie,r a ˈ t ʃ̑ ɛ̃ ɲ ɛ
raczkowanie,ˌ r a t ʃ̑ k ɔ ˈ v ã ɲ ɛ
raczkować,r a t ʃ̑ ˈ k ɔ v a ʨ̑
raczyć,ˈ r a t ʃ̑ ɨ ʨ̑
rad,r a t
rada,ˈ r a d a
radar,ˈ r a d a r
radary,r a ˈ d a r ɨ
radiator,r a ˈ dʲ j a t ɔ r
radio-,ˈ r a dʲ j ɔ
radioaktywny,ˌ r a dʲ j ɔ a k ˈ t ɨ v n ɨ
radiofobia,ˌ r a dʲ j ɔ ˈ f ɔ bʲ j a
radioliza,ˌ r a dʲ j ɔ ˈ lʲ i z a
radiolka,r a ˈ dʲ j ɔ l k a
radiomagnetofon,ˌ r a dʲ j ɔ̃ m a ɡ n ɛ ˈ t ɔ f ɔ̃ n
radioodbiornik,ˌ r a dʲ j ɔː d ˈ bʲ j ɔ rʲ ɲ i k
radiostacja,ˌ r a dʲ j ɔ ˈ s t a t s̑ʲ j a
radiotelegrafista,ˌ r a dʲ j ɔ t ɛ l ɛ ɡ r a ˈ fʲ i s t a
radioterapia,ˌ r a dʲ j ɔ t ɛ ˈ r a pʲ j a
radiowiec,r a ˈ dʲ j ɔ vʲ j ɛ t s̑
radiowy,r a ˈ dʲ j ɔ v ɨ
radiowóz,r a ˈ dʲ j ɔ v u s
radomiak,r a ˈ d ɔ̃ mʲ j a k
radomianin,ˌ r a d ɔ̃ ˈ mʲ j ä̃ ɲ ĩ n
radomianka,ˌ r a d ɔ̃ ˈ mʲ j ã n k a
radomski,r a ˈ d ɔ̃ m sʲ c i
radomszczanin,ˌ r a d ɔ̃ m ʃ ˈ t ʃ̑ ã ɲ ĩ n
radomszczanka,ˌ r a d ɔ̃ m ʃ ˈ t ʃ̑ ã n k a
radomszczański,ˌ r a d ɔ̃ m ʃ ˈ t ʃ̑ ã j̃ sʲ c i
radon,ˈ r a d ɔ̃ n
radosny,r a ˈ d ɔ s n ɨ
radośnie,r a ˈ d ɔ ɕ ɲ ɛ
radość,ˈ r a d ɔ ɕ ʨ̑
radyjko,r a ˈ d ɨ j k ɔ
radyjo,r a ˈ d ɨ j ɔ
radykalnie,ˌ r a d ɨ ˈ k a lʲ ɲ ɛ
radykalność,ˌ r a d ɨ ˈ k a l n ɔ ɕ ʨ̑
radykalny,ˌ r a d ɨ ˈ k a l n ɨ
radystka,r a ˈ d ɨ s t k a
radzenie,r a ˈ d z̑ ɛ̃ ɲ ɛ
radziecki,r a ˈ ʥ̑ ɛ t s̑ʲ c i
radzik,ˈ r a ʥ̑ i k
radzić,ˈ r a ʥ̑ i ʨ̑
radźca,ˈ r a ʨ̑ t s̑ a
rafa,ˈ r a f a
rafinacja,ˌ r a fʲ ĩ ˈ n a t s̑ʲ j a
rafineria,ˌ r a fʲ ĩ ˈ n ɛ rʲ j a
rafinować,ˌ r a fʲ ĩ ˈ n ɔ v a ʨ̑
raj,r a j
raja,ˈ r a j a
rajd,r a j t
rajstopy,r a j ˈ s t ɔ p ɨ
rajtuzy,r a j ˈ t u z ɨ
rajzefiber,ˌ r a j z ɛ ˈ fʲ i b ɛ r
rajzer,ˈ r a j z ɛ r
rak,r a k
rakarz,ˈ r a k a ʃ
rakieta,r a ˈ c ɛ t a
rakietowy,ˌ r a c ɛ ˈ t ɔ v ɨ
rakszasa,r a ˈ k ʃ a s a
rakuski,r a ˈ k u sʲ c i
rama,ˈ r ã m a
ramadan,r ã ˈ m a d ã n
rambutan,r ã m ˈ b u t ã n
rameczka,r ã ˈ m ɛ t ʃ̑ k a
ramiączko,r ã ˈ mʲ j ɔ̃ n͇ t ʃ̑ k ɔ
ramię,ˈ r ã mʲ j ɛ
ramka,ˈ r ã m k a
ramoneska,ˌ r ã m ɔ̃ ˈ n ɛ s k a
ramota,r ã ˈ m ɔ t a
rampa,ˈ r ã m p a
rampers,ˈ r ã m p ɛ r s
rampersik,r ã m ˈ p ɛ rʲ ɕ i k
ramy,ˈ r ã m ɨ
rana,ˈ r ã n a
rancho,ˈ r ã n͇ t ʃ̑ ɔ
ranczo,ˈ r ã n͇ t ʃ̑ ɔ
randka,ˈ r ã n t k a
randomowy,ˌ r ã n d ɔ̃ ˈ m ɔ v ɨ
ranek,ˈ r ã n ɛ k
ranga,ˈ r ã ŋ ɡ a
raniuszek,r ã ˈ ɲ u ʃ ɛ k
ranić,ˈ r ã ɲ i ʨ̑
ranka,ˈ r ã n k a
rannik,ˈ r ã ɲː i k
ranny,ˈ r ã nː ɨ
rano,ˈ r ã n ɔ
rant,r ã n t
rany,ˈ r ã n ɨ
rap,r a p
rapakiwi,ˌ r a p a ˈ c i vʲ i
raper,ˈ r a p ɛ r
rapier,ˈ r a pʲ j ɛ r
rapir,ˈ r a pʲ i r
raport,ˈ r a p ɔ r t
raportować,ˌ r a p ɔ r ˈ t ɔ v a ʨ̑
raptem,ˈ r a p t ɛ̃ m
raptus,ˈ r a p t u s
rarytas,r a ˈ r ɨ t a s
raróg,ˈ r a r u k
ras,r a s
rasa,ˈ r a s a
rasista,r a ˈ ɕ i s t a
rasistka,r a ˈ ɕ i s t k a
rasistowski,ˌ r a ɕ i ˈ s t ɔ f sʲ c i
rasizm,ˈ r a ɕ i s m̥
rasowiec,r a ˈ s ɔ vʲ j ɛ t s̑
rasowy,r a ˈ s ɔ v ɨ
raszka,ˈ r a ʃ k a
raszpla,ˈ r a ʃ p l a
raszplować,r a ʃ ˈ p l ɔ v a ʨ̑
rata,ˈ r a t a
rataj,ˈ r a t a j
ratingowy,ˌ r ɛ j tʲ ĩ ŋ ˈ ɡ ɔ v ɨ
ratowanie,ˌ r a t ɔ ˈ v ã ɲ ɛ
ratować,r a ˈ t ɔ v a ʨ̑
ratowniczka,ˌ r a t ɔ vʲ ˈ ɲ i t ʃ̑ k a
ratownik,r a ˈ t ɔ vʲ ɲ i k
ratrak,ˈ r a t r a k
ratunek,r a ˈ t ũ n ɛ k
ratunku,r a ˈ t ũ n k u
ratusz,ˈ r a t u ʃ
